City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain Inches(last 3hrs),Snow Inches(last 3hrs)
187,Sharjah,AE,2019-11-09 23:32:02,25.36,55.39,78.8,61,64,16.11,light rain,0.0,0.0
188,Marovoay,MG,2019-11-09 23:32:02,-16.11,46.64,82.4,83,40,9.17,scattered clouds,0.0,0.0
189,Tarauaca,BR,2019-11-09 23:32:02,-8.16,-70.77,82.54,63,93,0.74,overcast clouds,0.0,0.0
190,Gat,SN,2019-11-09 23:32:03,14.69,-16.54,75.2,73,58,17.22,broken clouds,0.0,0.0
191,San Andres,PH,2019-11-09 23:32:03,13.32,122.68,79.63,83,25,3.98,scattered clouds,0.0,0.0
192,Cabo San Lucas,MX,2019-11-09 23:28:53,22.89,-109.91,87.8,51,75,5.82,broken clouds,0.0,0.0
193,Jiwani,PK,2019-11-09 23:32:03,25.05,61.74,76.86,48,36,8.88,scattered clouds,0.0,0.0
194,Coihaique,CL,2019-11-09 23:32:03,-45.58,-72.07,62.6,48,90,6.93,overcast clouds,0.0,0.0
195,Acapulco,MX,2019-11-09 23:32:04,16.86,-99.88,86.0,74,5,8.05,clear sky,0.0,0.0
196,Sistranda,NO,2019-11-09 23:32:04,63.73,8.83,25.0,79,20,8.05,few clouds,0.0,0.0
197,Triggiano,IT,2019-11-09 23:32:04,41.06,16.92,53.01,93,20,4.7,light rain,0.0,0.0
198,Tura,RU,2019-11-09 23:32:04,64.27,100.22,-10.43,98,100,3.62,light snow,0.0,0.13
199,Khash,IR,2019-11-09 23:32:04,28.22,61.21,47.64,81,97,12.01,light rain,2.0,0.0
200,Ascona,CH,2019-11-09 23:32:05,46.16,8.77,46.0,80,20,5.82,few clouds,0.0,0.0
201,Kontagora,NG,2019-11-09 23:32:05,10.4,5.47,77.14,40,0,1.86,clear sky,0.0,0.0
202,Kohlu,PK,2019-11-09 23:31:02,29.9,69.25,50.23,46,0,2.53,clear sky,0.0,0.0
203,Sinnamary,GF,2019-11-09 23:32:05,5.38,-52.96,81.82,84,34,11.61,scattered clouds,0.0,0.0
204,Morondava,MG,2019-11-09 23:32:05,-20.3,44.28,76.84,45,0,2.26,clear sky,0.0,0.0
205,Meadow Lake,CA,2019-11-09 23:30:08,54.13,-108.44,10.4,66,40,8.05,scattered clouds,0.0,0.0
206,Oistins,BB,2019-11-09 23:32:06,13.07,-59.53,78.8,88,40,23.04,shower rain,0.0,0.0
207,Gravelbourg,CA,2019-11-09 23:32:06,49.88,-106.56,19.15,81,100,14.92,light snow,0.0,0.12
208,Pavilosta,LV,2019-11-09 23:32:07,56.89,21.19,48.2,100,100,6.93,light rain,1.37,0.0
209,Kisoro,UG,2019-11-09 23:32:07,-1.28,29.69,52.09,93,84,3.51,broken clouds,0.0,0.0
210,Goderich,CA,2019-11-09 23:32:07,43.74,-81.71,37.99,74,89,10.8,overcast clouds,0.0,0.0
211,Samur,AZ,2019-11-09 23:32:07,41.64,48.43,48.52,74,21,1.74,few clouds,0.0,0.0
212,Kishi,NG,2019-11-09 23:32:07,9.08,3.85,77.18,55,0,1.7,clear sky,0.0,0.0
213,Praya,ID,2019-11-09 23:32:08,-8.71,116.27,80.6,78,20,2.24,few clouds,0.0,0.0
214,Sunam,IN,2019-11-09 23:32:08,30.13,75.81,61.18,43,0,5.44,clear sky,0.0,0.0
215,San Francisco,CO,2019-11-09 23:30:34,1.17,-76.88,66.2,88,75,4.7,shower rain,0.0,0.0
216,Portland,US,2019-11-09 23:27:30,43.66,-70.25,36.0,47,20,4.7,few clouds,0.0,0.0
217,Ginir,ET,2019-11-09 23:32:08,7.14,40.71,57.0,90,88,4.25,overcast clouds,0.0,0.0
218,Sedro-Woolley,US,2019-11-09 23:32:08,48.5,-122.23,52.0,93,90,2.77,overcast clouds,0.0,0.0
219,North Bend,US,2019-11-09 23:32:09,43.41,-124.22,55.0,81,1,5.82,clear sky,0.0,0.0
220,El Prat De Llobregat,ES,2019-11-09 23:32:09,41.32,2.1,57.99,58,20,5.82,few clouds,0.0,0.0
221,Verkh-Usugli,RU,2019-11-09 23:32:09,52.7,115.17,26.56,85,100,4.88,light snow,0.0,0.25
222,Guerrero Negro,MX,2019-11-09 23:32:10,27.97,-114.04,74.71,51,100,12.1,overcast clouds,0.0,0.0
223,Evans,US,2019-11-09 23:32:10,40.38,-104.69,73.4,13,1,4.7,clear sky,0.0,0.0
224,Tuktoyaktuk,CA,2019-11-09 23:32:10,69.44,-133.03,5.0,71,20,19.46,few clouds,0.0,0.0
225,Ntungamo,UG,2019-11-09 23:32:10,-0.87,30.27,60.73,91,50,0.98,scattered clouds,0.0,0.0
226,Tanete,ID,2019-11-09 23:32:10,-3.94,119.78,82.33,69,100,3.0,light rain,0.31,0.0
227,Port Hawkesbury,CA,2019-11-09 23:32:11,45.62,-61.36,34.0,68,1,10.29,clear sky,0.0,0.0
228,Selcuk,TR,2019-11-09 23:32:11,37.95,27.37,57.99,93,64,2.73,broken clouds,0.0,0.0
229,Road Town,VG,2019-11-09 23:29:52,18.42,-64.62,84.2,74,40,10.29,scattered clouds,0.0,0.0
230,Bredasdorp,ZA,2019-11-09 23:32:11,-34.53,20.04,64.99,87,100,11.41,light rain,0.13,0.0
231,Saint-Michel-Des-Saints,CA,2019-11-09 23:32:11,46.68,-73.92,27.0,9,100,1.01,light snow,0.0,0.56
